Source,Research,Prepare Budget,Compare offers,Drive the car,Negotiate the deal,Take on delivery
S1,1,1,1,1,1,1
S2,1,1,1,1,1,0
S3,1,1,0,1,0,0
S4,1,1,1,1,1,1
S5,1,1,0,1,0,0
S6,1,1,1,1,0,0
S7,0,0,0,1,1,0
S8,1,1,1,1,0,0
S9,1,1,1,1,1,0
S10,1,1,1,1,1,0
S11,1,1,1,1,1,1
S12,1,1,1,1,1,1
S13,1,1,0,1,0,1
S14,1,0,1,0,1,1
S15,1,1,1,1,1,1
S16,1,1,1,1,1,1
S17,1,1,1,1,1,1
S18,1,1,1,0,0,0
